GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	direction	logFC_ave	power	TF
MEF2A	-0.631036953494954	8.963362349818292	-5.321202893137432	5.126331668586573e-6	0.0026923792646279445	4.017377621648727	T3d	-1	-0.631036953494954	0.994461569400726	1
SP3	-0.9089104019963008	7.343524471015358	-5.318834791285997	5.164322150013039e-6	0.0026997487178068162	4.0106113869332916	T3d	-1	-0.9089104019963008	0.9663960766738182	1
DUOX2	1.143504503137489	6.917168623161438	5.31535052251957	5.220728862310611e-6	0.0027220162092582655	4.000656367960863	T3d	1	1.143504503137489	0.9899626467238658	0
FASTK	-0.6766888908173643	5.600133357152401	-5.303237705500347	5.421636342037069e-6	0.0027870593856270153	3.966051955641987	T3d	-1	-0.6031090971996202	0.9990411391744473	0
SHROOM1	-1.4150970350056644	5.210161511954564	-5.301889438626573	5.444469685344324e-6	0.0027870593856270153	3.962200513197832	T3d	-1	-1.058097468280453	0.9892519265375579	0
PFKL	-0.5420651638503893	8.108820600953202	-5.299015826104442	5.493455078054784e-6	0.0027949184831968813	3.9539920210907695	T3d	-1	-0.6237794726499519	0.9547818385148356	0
NUP153	-0.5628796871954673	7.140616989376557	-5.298495809189262	5.50236635891493e-6	0.0027949184831968813	3.9525066237045916	T3d	-1	-1.399866198529061	0.9999997126439978	0
SHC4	0.6957799855905478	7.101709798504246	5.292952733162105	5.598253874741671e-6	0.0028290417093579166	3.936673813648987	T3d	1	0.6957799855905478	0.9283024918792657	0
TECPR2	-0.9060949496390931	6.6860248362375785	-5.290825631370856	5.6354896288359035e-6	0.0028405750332723663	3.9305984475554485	T3d	-1	-0.7198369091451045	0.8973372663740825	0
MEIOB	1.0770598577862898	4.756167784317794	5.288816224484638	5.67089140294768e-6	0.0028511274521901544	3.9248594036545086	T3d	1	1.0770598577862898	0.9827916052318956	0
PPP2R4	-0.613572654416064	11.112942722217813	-5.287869814160986	5.687641845708193e-6	0.002852272787581561	3.9221564279762013	T3d	-1	-0.5818400148553331	0.9474669924496197	0
STT3A	-0.6031408359842789	8.154006254019675	-5.278621755805099	5.853935452116733e-6	0.002906088198098172	3.8957456109417734	T3d	-1	-0.5913137705036928	0.9917777791572179	0
ADRBK1	-0.6778927413037685	6.40560974409007	-5.27699858107508	5.883617519551934e-6	0.0029061826446701087	3.891110472881092	T3d	-1	-0.5930020994124455	0.9935022737606553	0
ARHGAP20	2.5384539495894147	6.960927496380318	5.267875132545052	6.053260156121299e-6	0.002967663494052264	3.8650595999228834	T3d	1	2.5384539495894147	0.9975321518606278	0
CDKN2AIP	-0.6074183170918754	9.13453015221651	-5.248859667355707	6.422633204093842e-6	0.0030912600946249873	3.8107748044096876	T3d	-1	-0.5890688432399251	1	0
UCHL3	-0.6683338355697757	9.818780796983274	-5.244349538752863	6.5134806712609195e-6	0.003108239284781567	3.7979017718410244	T3d	-1	-0.6348631100177902	0.9150837642137013	0
GPBP1L1	0.5094650174045787	7.08668332513209	5.242979669825071	6.541326109998292e-6	0.00310931857009477	3.7939920066301465	T3d	1	0.5094650174045787	0.9999602856982577	0
BAP1	-0.5404096116284123	9.636277413182917	-5.233220141372178	6.743164417104476e-6	0.003156697900191493	3.7661396742702973	T3d	-1	-0.5275730701147197	0.9999006895829081	0
